1000 und 1 Nacht; Liederballon_11
Ye maids of Helston; Liedergarten_12
Zehn nach sieben; Liedergarten_12
Zur mischeloh; Liedergarten_12
Abends, wenn ich schlafen geh; Liederzug_13
Alle Kinder dieser Erde; Liederzug_13
Allererst lebe ich; Liederzug_13
Alleweil ein wenig lustig; Liederzug_13
As time goes by; Liederzug_13
Auf, auf zum fröhlichen Jagen; Liederzug_13
Bella Notte; Liederzug_13
Brüder, reicht die Hand zum Bunde; Liederzug_13
Da streiten sich dich Leut herum; Liederzug_13
Danhauser; Liederzug_13
Das Jahr geht zu Ende; Liederzug_13
Das Lied von den Gefühlen; Liederzug_13
Das macht die Berliner Luft; Liederzug_13
Das steinerne Brot; Liederzug_13
Der Jäger längs dem Weiher ging; Liederzug_13
Der Kuckuck und der Esel; Liederzug_13
Der Rattenfänger; Liederzug_13
Die Fisch im Wasser wohnen; Liederzug_13
Die Gartenlaube; Liederzug_13
Die Leineweber; Liederzug_13
Du hast mir schon Fragen gestellt; Liederzug_13
Ein Bürstenbinder bin ich; Liederzug_13
Ein Postknecht ist ein armer Wicht; Liederzug_13
Ein Prosit; Liederzug_13
Einen Ring trag ich von dir; Liederzug_13
Es kam ein fremder Schleifer; Liederzug_13
Es ritten drei Reiter zum Tore hinaus; Liederzug_13
Es war eine Mutter; Liederzug_13
Frère Jacques; Liederzug_13
Fünf Minuten vor zwölf; Liederzug_13
Glück auf, Glück auf!; Liederzug_13
Hab mei Wage vollgelade; Liederzug_13
Hans Spielmann; Liederzug_13
Heißa, heut geht's lustig zu; Liederzug_13
Hört, Ihr Herrn, und laßt euch sagen; Liederzug_13
Ich bin der Lumpenmann; Liederzug_13
Ich bin die Lola; Liederzug_13
Im frischen grünen Wald; Liederzug_13
In meinem kleinen Apfel; Liederzug_13
Ist wieder eins aus; Liederzug_13
Ja grün ist die Heide; Liederzug_13
Jetzt kommen die lustigen Tage; Liederzug_13
John Henry; Liederzug_13
Jung Siegfried; Liederzug_13
Kookaburra; Liederzug_13
Krambambuli; Liederzug_13
Kristallnaach; Liederzug_13
Laß doch der Jugend ihren Lauf; Liederzug_13
Let us break bread together; Liederzug_13
Like ice in the sunshine; Liederzug_13
Lonesome House Blues; Liederzug_13
Losing my religion; Liederzug_13
Mein Weihnachtswunsch; Liederzug_13
Mittelchen gegen Podagra; Liederzug_13
My Way; Liederzug_13
O, du schöner Westerwald; Liederzug_13
Oh hängt ihn auf!; Liederzug_13
Poems, Prayers and Promises; Liederzug_13
Rinaldini; Liederzug_13
Robins m'aime; Liederzug_13
Rübezahl; Liederzug_13
S'Wonderful; Liederzug_13
Schinderhannes; Liederzug_13
Schluss! Aus!; Liederzug_13
Singin' in the rain; Liederzug_13
Solang dein Feuer brennt; Liederzug_13
St. Louis Blues; Liederzug_13
Stjep, da stjep krugom; Liederzug_13
Störtebecker und Gödeke Michael; Liederzug_13
Surfin' U.S.A.; Liederzug_13
The Jolly Beggar; Liederzug_13
The Scolding Wife; Liederzug_13
Üb immer Treu und Redlichkeit; Liederzug_13
Üsküdara; Liederzug_13
Viola, Bass und Geige; Liederzug_13
Walpurgisnacht; Liederzug_13
Wann ich Morgens früh aufsteh; Liederzug_13
Was braucht ma auf an Bauernhof?; Liederzug_13
Was ein Kind braucht; Liederzug_13
Wasilikós tha jíno; Liederzug_13
Wenn das Glöcklein fünf Uhr schlägt; Liederzug_13
Wenn die Hoffnung nicht wär; Liederzug_13
Wer nur den lieben Gott lässt walten; Liederzug_13
Wie machen's denn die Advokaten?; Liederzug_13
Wiedersehn; Liederzug_13
Wild thing; Liederzug_13
You're Sixteen; Liederzug_13
Zuvorderst kommt der Januar; Liederzug_13
A caminho de Viseu (Portugal); Liederwelt_14
Alberta (Amerika); Liederwelt_14
Alika (Hawaii); Liederwelt_14
All mein Gedanken; Liederwelt_14
Alles, was wir sind; Liederwelt_14
Als ich einmal reise; Liederwelt_14
G. Danzer: Atemzüge; Liederwelt_14
Auf dem Meer; Liederwelt_14
Spears: Baby one more time; Liederwelt_14
Cher: Believe; Liederwelt_14
Bella Bimba; Liederwelt_14
Bemooster Bursche; Liederwelt_14
Emilia: Big, big world; Liederwelt_14
Bingo; Liederwelt_14
W.A. Mozart: Bona Nox; Liederwelt_14
Che baccan (Italien); Liederwelt_14
Chemworor (Kenia); Liederwelt_14
Das kleine Murmeltier; Liederwelt_14
Das Schäfchen; Liederwelt_14
Den lieben langen Tag; Liederwelt_14
Der Fischer; Liederwelt_14
Der Fuhrknecht; Liederwelt_14
Der Gespensterreiter; Liederwelt_14
Der Schneemann; Liederwelt_14
Der Tambour; Liederwelt_14
Die falsche Todesbotschaft; Liederwelt_14
Heppner/Witt: Die Flut; Liederwelt_14
Die Rheinbraut; Liederwelt_14
Diogenes, der Weise; Liederwelt_14
Doktor Faust; Liederwelt_14
Dornröschen; Liederwelt_14
Drobny grosek (Polen); Liederwelt_14
Maahn: Durch alle Zeiten; Liederwelt_14
Ein stolzer Schütz; Liederwelt_14
